funcion,tipo_cruza,dim,tam_pob,generaciones,repeticion,semilla,mejor_final,peor_final,promedio_final,tiempo_total_seg
sphere,un_punto,10,100,1000,0,42,1.1869581081248208e-06,1.5433544228880454,0.33449907962591413,0.7623627049997594
sphere,uniforme,10,100,1000,0,42,1.3698512042807557e-06,1.7911437000958657,0.35498537530448315,0.9453337469999497
sphere,blx,10,100,1000,0,42,2.4866392698432415e-10,1.550052273115701,0.3248734681630792,0.920171621999998
sphere,sbx,10,100,1000,0,42,4.3193325067740895e-07,1.7780958441552934,0.3626305881127746,0.9064911129999018
rastrigin,un_punto,10,100,1000,0,42,6.278297294670665e-05,53.69243010907326,9.130032016403295,1.1304705070001546
rastrigin,uniforme,10,100,1000,0,42,0.0003312447971097754,33.45682977950621,9.446029976212813,1.3494284980001794
rastrigin,blx,10,100,1000,0,42,6.202469648997067e-10,37.57467431820474,10.393713784539566,1.311536407999938
rastrigin,sbx,10,100,1000,0,42,7.228113872770336e-05,40.8952181767848,10.481002124498486,1.3408664020003016
rosenbrock,un_punto,10,100,1000,0,42,5.951502328536832,75.5787736244851,20.20542647647664,1.227345461999903
rosenbrock,uniforme,10,100,1000,0,42,6.189827282460336,77.36313362139123,24.906391365034874,1.3525958860000173
rosenbrock,blx,10,100,1000,0,42,6.1779288078180645,94.67976910519533,25.683715096461977,1.3209779499998149
rosenbrock,sbx,10,100,1000,0,42,6.489446392029429,94.86013836910992,23.961586369754936,1.304361771999993
sphere,un_punto,10,100,1000,1,43,1.7366537762213414e-06,1.4856048724072537,0.3264588705616021,0.7498179220001475
sphere,uniforme,10,100,1000,1,43,2.425142873185866e-06,1.9557204056329422,0.2839310490402603,0.9553714270000455
sphere,blx,10,100,1000,1,43,4.956526056540907e-10,1.6717833850758432,0.3494294216076512,1.008087193999927
sphere,sbx,10,100,1000,1,43,2.636175388036709e-07,1.7885171194439342,0.3192211372337944,1.0024636140001348
rastrigin,un_punto,10,100,1000,1,43,0.0003504864964298804,47.28484971812579,9.633082133868463,1.2365546400001222
rastrigin,uniforme,10,100,1000,1,43,0.0004931217121395548,37.55083289333687,9.586575496933369,1.4841757290000714
rastrigin,blx,10,100,1000,1,43,1.2650894092303133e-06,44.25572955432082,9.78575387987719,1.3899437909999506
rastrigin,sbx,10,100,1000,1,43,0.00010057439521915512,53.48922871895643,10.59215202033647,1.4067263900001308
rosenbrock,un_punto,10,100,1000,1,43,6.64511169082158,65.30613528870781,21.770903450236837,1.360488947000249
rosenbrock,uniforme,10,100,1000,1,43,6.640754198621622,87.57316096923495,25.123842538037408,2.23182934200031
rosenbrock,blx,10,100,1000,1,43,5.881724131346405,210.59604514104814,31.790174881083274,2.061548218000098
rosenbrock,sbx,10,100,1000,1,43,0.18086377305661494,191.40333720269592,28.11507406346595,2.0413805190000858
sphere,un_punto,10,100,1000,2,44,6.425703547807928e-07,1.9540447271539978,0.2924525987315483,1.2163765350001086
sphere,uniforme,10,100,1000,2,44,3.5029746769862888e-06,1.5183859870120895,0.24929502124216948,1.5212105369996607
sphere,blx,10,100,1000,2,44,3.7050758573266095e-10,1.4696212465789913,0.3103462761715417,1.4484900150000612
sphere,sbx,10,100,1000,2,44,1.444606234671421e-06,1.6055492430918026,0.32085679120522265,1.4328328030001103
rastrigin,un_punto,10,100,1000,2,44,0.00042635782307343106,52.99912911882774,8.961815317313626,1.8478180070001144
rastrigin,uniforme,10,100,1000,2,44,0.0003658463649003352,39.854082663103256,9.968379054305217,2.1741356980001
rastrigin,blx,10,100,1000,2,44,1.180751496576704e-09,41.135388626784156,8.392701623369724,2.092856286999904
rastrigin,sbx,10,100,1000,2,44,0.00026610240050217726,49.274966067386416,11.61222549140823,2.0106860939999933
rosenbrock,un_punto,10,100,1000,2,44,7.39514862148481,159.15864996379494,28.924258189283368,1.7389816769996287
rosenbrock,uniforme,10,100,1000,2,44,6.643793400185572,88.23441155957934,20.847903017747296,2.0240460879999773
rosenbrock,blx,10,100,1000,2,44,6.9272389966141095,143.37947625352766,30.861439309394157,2.010347214000376
rosenbrock,sbx,10,100,1000,2,44,0.20052041497951933,135.1144546247895,25.826262055048026,1.968646099000125
sphere,un_punto,10,100,1000,3,45,9.45850235886471e-07,1.5489989635786614,0.29332009228215805,1.131424059999972
sphere,uniforme,10,100,1000,3,45,1.8510084193272468e-06,1.5519366431461163,0.31484584905029783,1.4224056040002324
sphere,blx,10,100,1000,3,45,6.352151870768734e-10,1.6912278507136767,0.2551812293505035,1.4039753979996021
sphere,sbx,10,100,1000,3,45,1.9535139919691473e-07,1.7437846332195803,0.30788178490710133,1.3727453450001121
rastrigin,un_punto,10,100,1000,3,45,0.0006207860778033591,37.23795822736955,8.826218053436671,1.7081005600002754
rastrigin,uniforme,10,100,1000,3,45,0.00020552091741876666,42.97708867279499,10.341397899962843,2.0220081269999355
rastrigin,blx,10,100,1000,3,45,9.122800292971078e-10,38.45323941381792,8.610782071644302,1.993542823000098
rastrigin,sbx,10,100,1000,3,45,0.00014667501223186719,50.721015198773344,10.174997485859087,1.9634844619999967
rosenbrock,un_punto,10,100,1000,3,45,6.42182285733601,106.75687416112444,22.596731312374086,1.7318784640001468
rosenbrock,uniforme,10,100,1000,3,45,6.358989344520907,80.78243327976237,20.331320489026808,1.8482632579998608
rosenbrock,blx,10,100,1000,3,45,6.65030595179663,66.48861767913661,20.596715700697015,1.4102464269999473
rosenbrock,sbx,10,100,1000,3,45,9.60826651883184,76.40288828120106,23.298244253637947,1.9907334429999537
sphere,un_punto,10,100,1000,4,46,3.9022986816612935e-06,1.2841862784517668,0.3031526192791143,1.1315626989999146
sphere,uniforme,10,100,1000,4,46,1.2109743494294814e-06,1.671422589471304,0.3188004470983803,1.4289157759999398
sphere,blx,10,100,1000,4,46,1.071714878617624e-09,1.5514916091569517,0.3384606978591572,1.4391841110000314
sphere,sbx,10,100,1000,4,46,3.5343935446397676e-07,1.6513514571073538,0.3787605706649413,1.372302955000123
rastrigin,un_punto,10,100,1000,4,46,0.00042116761757426957,36.14970491935358,9.258862982766598,1.8067549110000982
rastrigin,uniforme,10,100,1000,4,46,0.0005592092753516908,45.73391098048454,8.856433983278432,2.095528723999905
rastrigin,blx,10,100,1000,4,46,7.495941645174753e-10,41.30812586893333,8.487884135985889,2.0223874680000336
rastrigin,sbx,10,100,1000,4,46,3.468373036241701e-05,38.67699815707665,10.720845953297873,1.9920529319997513
